Chronic_disease,ICD_Code,ICD_Version
Cardiovascular Disease,I70313,ICD10
Cardiovascular Disease,I70318,ICD10
Cardiovascular Disease,I70319,ICD10
Cardiovascular Disease,I70321,ICD10
Cardiovascular Disease,I70322,ICD10
Cardiovascular Disease,I70323,ICD10
Cardiovascular Disease,I70328,ICD10
Cardiovascular Disease,I70329,ICD10
Cardiovascular Disease,I70331,ICD10
Cardiovascular Disease,I70332,ICD10
Cardiovascular Disease,I70333,ICD10
Cardiovascular Disease,I70334,ICD10
Cardiovascular Disease,I70335,ICD10
Cardiovascular Disease,I70338,ICD10
Cardiovascular Disease,I70339,ICD10
Cardiovascular Disease,I70341,ICD10
Cardiovascular Disease,I70342,ICD10
Cardiovascular Disease,I70343,ICD10
Cardiovascular Disease,I70344,ICD10
Cardiovascular Disease,I70345,ICD10
Cardiovascular Disease,I70348,ICD10
Cardiovascular Disease,I70349,ICD10
Cardiovascular Disease,I7035,ICD10
Cardiovascular Disease,I70361,ICD10
Cardiovascular Disease,I70362,ICD10
Cardiovascular Disease,I70363,ICD10
Cardiovascular Disease,I70368,ICD10
Cardiovascular Disease,I70369,ICD10
Cardiovascular Disease,I70391,ICD10
Cardiovascular Disease,I70392,ICD10
Cardiovascular Disease,I70393,ICD10
Cardiovascular Disease,I70398,ICD10
Cardiovascular Disease,I70399,ICD10
Cardiovascular Disease,I70401,ICD10
Cardiovascular Disease,I70402,ICD10
Cardiovascular Disease,I70403,ICD10
Cardiovascular Disease,I70408,ICD10
Cardiovascular Disease,I70409,ICD10
Cardiovascular Disease,I70411,ICD10
Cardiovascular Disease,I70412,ICD10
Cardiovascular Disease,I70413,ICD10
Cardiovascular Disease,I70418,ICD10
Cardiovascular Disease,I70419,ICD10
Cardiovascular Disease,I70421,ICD10
Cardiovascular Disease,I70422,ICD10
Cardiovascular Disease,I70423,ICD10
Cardiovascular Disease,I70428,ICD10
Cardiovascular Disease,I70429,ICD10
Cardiovascular Disease,I70431,ICD10
Cardiovascular Disease,I70432,ICD10
Cardiovascular Disease,I70433,ICD10
Cardiovascular Disease,I70434,ICD10
Cardiovascular Disease,I70435,ICD10
Cardiovascular Disease,I70438,ICD10
Cardiovascular Disease,I70439,ICD10
Cardiovascular Disease,I70441,ICD10
Cardiovascular Disease,I70442,ICD10
Cardiovascular Disease,I70443,ICD10
Cardiovascular Disease,I70444,ICD10
Cardiovascular Disease,I70445,ICD10
Cardiovascular Disease,I70448,ICD10
Cardiovascular Disease,I70449,ICD10
Cardiovascular Disease,I7045,ICD10
Cardiovascular Disease,I70461,ICD10
Cardiovascular Disease,I70462,ICD10
Cardiovascular Disease,I70463,ICD10
Cardiovascular Disease,I70468,ICD10
Cardiovascular Disease,I70469,ICD10
Cardiovascular Disease,I70491,ICD10
Cardiovascular Disease,I70492,ICD10
Cardiovascular Disease,I70493,ICD10
Cardiovascular Disease,I70498,ICD10
Cardiovascular Disease,I70499,ICD10
Cardiovascular Disease,I70501,ICD10
Cardiovascular Disease,I70502,ICD10
Cardiovascular Disease,I70503,ICD10
Cardiovascular Disease,I70508,ICD10
Cardiovascular Disease,I70509,ICD10
Cardiovascular Disease,I70511,ICD10
Cardiovascular Disease,I70512,ICD10
Cardiovascular Disease,I70513,ICD10
Cardiovascular Disease,I70518,ICD10
Cardiovascular Disease,I70519,ICD10
Cardiovascular Disease,I70521,ICD10
Cardiovascular Disease,I70522,ICD10
Cardiovascular Disease,I70523,ICD10
Cardiovascular Disease,I70528,ICD10
Cardiovascular Disease,I70529,ICD10
Cardiovascular Disease,I70531,ICD10
Cardiovascular Disease,I70532,ICD10
Cardiovascular Disease,I70533,ICD10
Cardiovascular Disease,I70534,ICD10
Cardiovascular Disease,I70535,ICD10
Cardiovascular Disease,I70538,ICD10
Cardiovascular Disease,I70539,ICD10
Cardiovascular Disease,I70541,ICD10
Cardiovascular Disease,I70542,ICD10
Cardiovascular Disease,I70543,ICD10
Cardiovascular Disease,I70544,ICD10
Cardiovascular Disease,I70545,ICD10
Cardiovascular Disease,I70548,ICD10
Cardiovascular Disease,I70549,ICD10
Cardiovascular Disease,I7055,ICD10
Cardiovascular Disease,I70561,ICD10
Cardiovascular Disease,I70562,ICD10
Cardiovascular Disease,I70563,ICD10
Cardiovascular Disease,I70568,ICD10
Cardiovascular Disease,I70569,ICD10
Cardiovascular Disease,I70591,ICD10
Cardiovascular Disease,I70592,ICD10
Cardiovascular Disease,I70593,ICD10
Cardiovascular Disease,I70598,ICD10
Cardiovascular Disease,I70599,ICD10
Cardiovascular Disease,I70601,ICD10
Cardiovascular Disease,I70602,ICD10
Cardiovascular Disease,I70603,ICD10
Cardiovascular Disease,I70608,ICD10
Cardiovascular Disease,I70609,ICD10
Cardiovascular Disease,I70611,ICD10
Cardiovascular Disease,I70612,ICD10
Cardiovascular Disease,I70613,ICD10
Cardiovascular Disease,I70618,ICD10
Cardiovascular Disease,I70619,ICD10
Cardiovascular Disease,I70621,ICD10
Cardiovascular Disease,I70622,ICD10
Cardiovascular Disease,I70623,ICD10
Cardiovascular Disease,I70628,ICD10
Cardiovascular Disease,I70629,ICD10
Cardiovascular Disease,I70631,ICD10
Cardiovascular Disease,I70632,ICD10
Cardiovascular Disease,I70633,ICD10
Cardiovascular Disease,I70634,ICD10
Cardiovascular Disease,I70635,ICD10
Cardiovascular Disease,I70638,ICD10
Cardiovascular Disease,I70639,ICD10
Cardiovascular Disease,I70641,ICD10
Cardiovascular Disease,I70642,ICD10
Cardiovascular Disease,I70643,ICD10
Cardiovascular Disease,I70644,ICD10
Cardiovascular Disease,I70645,ICD10
Cardiovascular Disease,I70648,ICD10
Cardiovascular Disease,I70649,ICD10
Cardiovascular Disease,I7065,ICD10
Cardiovascular Disease,I70661,ICD10
Cardiovascular Disease,I70662,ICD10
Cardiovascular Disease,I70663,ICD10
Cardiovascular Disease,I70668,ICD10
Cardiovascular Disease,I70669,ICD10
Cardiovascular Disease,I70691,ICD10
Cardiovascular Disease,I70692,ICD10
Cardiovascular Disease,I70693,ICD10
Cardiovascular Disease,I70698,ICD10
Cardiovascular Disease,I70699,ICD10
Cardiovascular Disease,I70701,ICD10
Cardiovascular Disease,I70702,ICD10
Cardiovascular Disease,I70703,ICD10
Cardiovascular Disease,I70708,ICD10
Cardiovascular Disease,I70709,ICD10
Cardiovascular Disease,I70711,ICD10
Cardiovascular Disease,I70712,ICD10
Cardiovascular Disease,I70713,ICD10
Cardiovascular Disease,I70718,ICD10
Cardiovascular Disease,I70719,ICD10
Cardiovascular Disease,I70721,ICD10
Cardiovascular Disease,I70722,ICD10
Cardiovascular Disease,I70723,ICD10
Cardiovascular Disease,I70728,ICD10
Cardiovascular Disease,I70729,ICD10
Cardiovascular Disease,I70731,ICD10
Cardiovascular Disease,I70732,ICD10
Cardiovascular Disease,I70733,ICD10
Cardiovascular Disease,I70734,ICD10
Cardiovascular Disease,I70735,ICD10
Cardiovascular Disease,I70738,ICD10
Cardiovascular Disease,I70739,ICD10
Cardiovascular Disease,I70741,ICD10
Cardiovascular Disease,I70742,ICD10
Cardiovascular Disease,I70743,ICD10
Cardiovascular Disease,I70744,ICD10
Cardiovascular Disease,I70745,ICD10
Cardiovascular Disease,I70748,ICD10
Cardiovascular Disease,I70749,ICD10
Cardiovascular Disease,I7075,ICD10
Cardiovascular Disease,I70761,ICD10
Cardiovascular Disease,I70762,ICD10
Cardiovascular Disease,I70763,ICD10
Cardiovascular Disease,I70768,ICD10
Cardiovascular Disease,I70769,ICD10
Cardiovascular Disease,I70791,ICD10
Cardiovascular Disease,I70792,ICD10
Cardiovascular Disease,I70793,ICD10
Cardiovascular Disease,I70798,ICD10
Cardiovascular Disease,I70799,ICD10
Cardiovascular Disease,I708,ICD10
Cardiovascular Disease,I7090,ICD10
Cardiovascular Disease,I7091,ICD10
Cardiovascular Disease,I7092,ICD10
Cardiovascular Disease,I7100,ICD10
Cardiovascular Disease,I7101,ICD10
Cardiovascular Disease,I7102,ICD10
Cardiovascular Disease,I7103,ICD10
Cardiovascular Disease,I711,ICD10
Cardiovascular Disease,I712,ICD10
Cardiovascular Disease,I713,ICD10
Cardiovascular Disease,I714,ICD10
Cardiovascular Disease,I715,ICD10
Cardiovascular Disease,I716,ICD10
Cardiovascular Disease,I718,ICD10
Cardiovascular Disease,I719,ICD10
Cardiovascular Disease,I720,ICD10
Cardiovascular Disease,I721,ICD10
Cardiovascular Disease,I722,ICD10
Cardiovascular Disease,I723,ICD10
Cardiovascular Disease,I724,ICD10
Cardiovascular Disease,I725,ICD10
Cardiovascular Disease,I726,ICD10
Cardiovascular Disease,I728,ICD10
Cardiovascular Disease,I729,ICD10
Cardiovascular Disease,I7300,ICD10
Cardiovascular Disease,I7301,ICD10
Cardiovascular Disease,I731,ICD10
Cardiovascular Disease,I7381,ICD10
Cardiovascular Disease,I7389,ICD10
Cardiovascular Disease,I739,ICD10
Cardiovascular Disease,I7401,ICD10
Cardiovascular Disease,I7409,ICD10
Cardiovascular Disease,I7410,ICD10
Cardiovascular Disease,I7411,ICD10
Cardiovascular Disease,I7419,ICD10
Cardiovascular Disease,I742,ICD10
Cardiovascular Disease,I743,ICD10
Cardiovascular Disease,I744,ICD10
Cardiovascular Disease,I745,ICD10
Cardiovascular Disease,I748,ICD10
Cardiovascular Disease,I749,ICD10
Cardiovascular Disease,I75011,ICD10
Cardiovascular Disease,I75012,ICD10
Cardiovascular Disease,I75013,ICD10
Cardiovascular Disease,I75019,ICD10
Cardiovascular Disease,I75021,ICD10
Cardiovascular Disease,I75022,ICD10
Cardiovascular Disease,I75023,ICD10
Cardiovascular Disease,I75029,ICD10
Cardiovascular Disease,I7581,ICD10
Cardiovascular Disease,I7589,ICD10
Cardiovascular Disease,I770,ICD10
Cardiovascular Disease,I771,ICD10
Cardiovascular Disease,I772,ICD10
Cardiovascular Disease,I773,ICD10
Cardiovascular Disease,I774,ICD10
Cardiovascular Disease,I775,ICD10
Cardiovascular Disease,I776,ICD10
Cardiovascular Disease,I7770,ICD10
Cardiovascular Disease,I7771,ICD10
Cardiovascular Disease,I7772,ICD10
Cardiovascular Disease,I7773,ICD10
Cardiovascular Disease,I7774,ICD10
Cardiovascular Disease,I7775,ICD10
Cardiovascular Disease,I7776,ICD10
Cardiovascular Disease,I7777,ICD10
Cardiovascular Disease,I7779,ICD10
Cardiovascular Disease,I77810,ICD10
Cardiovascular Disease,I77811,ICD10
Cardiovascular Disease,I77812,ICD10
Cardiovascular Disease,I77819,ICD10
Cardiovascular Disease,I7789,ICD10
Cardiovascular Disease,I779,ICD10
Cardiovascular Disease,I780,ICD10
Cardiovascular Disease,I790,ICD10
Cardiovascular Disease,I791,ICD10
Cardiovascular Disease,I798,ICD10
Cardiovascular Disease,I820,ICD10
Cardiovascular Disease,I821,ICD10
Cardiovascular Disease,I82211,ICD10
Cardiovascular Disease,I82220,ICD10
Cardiovascular Disease,I82221,ICD10
Cardiovascular Disease,I82291,ICD10
Cardiovascular Disease,I823,ICD10
Cardiovascular Disease,I82501,ICD10
Cardiovascular Disease,I82502,ICD10
Cardiovascular Disease,I82503,ICD10
Cardiovascular Disease,I82509,ICD10
Cardiovascular Disease,I82511,ICD10
Cardiovascular Disease,I82512,ICD10
Cardiovascular Disease,I82513,ICD10
Cardiovascular Disease,I82519,ICD10
Cardiovascular Disease,I82521,ICD10
Cardiovascular Disease,I82522,ICD10
Cardiovascular Disease,I82523,ICD10
Cardiovascular Disease,I82529,ICD10
Cardiovascular Disease,I82531,ICD10
Cardiovascular Disease,I82532,ICD10
Cardiovascular Disease,I82533,ICD10
Cardiovascular Disease,I82539,ICD10
Cardiovascular Disease,I82541,ICD10
Cardiovascular Disease,I82542,ICD10
Cardiovascular Disease,I82543,ICD10
Cardiovascular Disease,I82549,ICD10
Cardiovascular Disease,I82591,ICD10
Cardiovascular Disease,I82592,ICD10
Cardiovascular Disease,I82593,ICD10
Cardiovascular Disease,I82599,ICD10
Cardiovascular Disease,I825Y1,ICD10
Cardiovascular Disease,I825Y2,ICD10
Cardiovascular Disease,I825Y3,ICD10
Cardiovascular Disease,I825Y9,ICD10
Cardiovascular Disease,I825Z1,ICD10
Cardiovascular Disease,I825Z2,ICD10
Cardiovascular Disease,I825Z3,ICD10
Cardiovascular Disease,I825Z9,ICD10
Cardiovascular Disease,I82701,ICD10
Cardiovascular Disease,I82702,ICD10
Cardiovascular Disease,I82703,ICD10
Cardiovascular Disease,I82709,ICD10
Cardiovascular Disease,I82711,ICD10
Cardiovascular Disease,I82712,ICD10
Cardiovascular Disease,I82713,ICD10
Cardiovascular Disease,I82719,ICD10
Cardiovascular Disease,I82721,ICD10
Cardiovascular Disease,I82722,ICD10
Cardiovascular Disease,I82723,ICD10
Cardiovascular Disease,I82729,ICD10
Cardiovascular Disease,I82891,ICD10
Cardiovascular Disease,I8291,ICD10
Cardiovascular Disease,I82A21,ICD10
Cardiovascular Disease,I82A22,ICD10
Cardiovascular Disease,I82A23,ICD10
Cardiovascular Disease,I82A29,ICD10
Cardiovascular Disease,I82B21,ICD10
Cardiovascular Disease,I82B22,ICD10
Cardiovascular Disease,I82B23,ICD10
Cardiovascular Disease,I82B29,ICD10
Cardiovascular Disease,I82C21,ICD10
Cardiovascular Disease,I82C22,ICD10
Cardiovascular Disease,I82C23,ICD10
Cardiovascular Disease,I82C29,ICD10
Cardiovascular Disease,I8500,ICD10
Cardiovascular Disease,I8501,ICD10
Cardiovascular Disease,I8510,ICD10
Cardiovascular Disease,I8511,ICD10
Cardiovascular Disease,I87001,ICD10
Cardiovascular Disease,I87002,ICD10
Cardiovascular Disease,I87003,ICD10
Cardiovascular Disease,I87009,ICD10
Cardiovascular Disease,I87011,ICD10
Cardiovascular Disease,I87012,ICD10
Cardiovascular Disease,I87013,ICD10
Cardiovascular Disease,I87019,ICD10
Cardiovascular Disease,I87021,ICD10
Cardiovascular Disease,I87022,ICD10
Cardiovascular Disease,I87023,ICD10
Cardiovascular Disease,I87029,ICD10
Cardiovascular Disease,I87031,ICD10
Cardiovascular Disease,I87032,ICD10
Cardiovascular Disease,I87033,ICD10
Cardiovascular Disease,I87039,ICD10
Cardiovascular Disease,I87091,ICD10
Cardiovascular Disease,I87092,ICD10
Cardiovascular Disease,I87093,ICD10
Cardiovascular Disease,I87099,ICD10
Cardiovascular Disease,I87301,ICD10
Cardiovascular Disease,I87302,ICD10
Cardiovascular Disease,I87303,ICD10
Cardiovascular Disease,I87309,ICD10
Cardiovascular Disease,I87311,ICD10
Cardiovascular Disease,I87312,ICD10
Cardiovascular Disease,I87313,ICD10
Cardiovascular Disease,I87319,ICD10
Cardiovascular Disease,I87321,ICD10
Cardiovascular Disease,I87322,ICD10
Cardiovascular Disease,I87323,ICD10
Cardiovascular Disease,I87329,ICD10
Cardiovascular Disease,I87331,ICD10
Cardiovascular Disease,I87332,ICD10
Cardiovascular Disease,I87333,ICD10
Cardiovascular Disease,I87339,ICD10
Cardiovascular Disease,I87391,ICD10
Cardiovascular Disease,I87392,ICD10
Cardiovascular Disease,I87393,ICD10
Cardiovascular Disease,I87399,ICD10
Cardiovascular Disease,I881,ICD10
Cardiovascular Disease,I890,ICD10
Cardiovascular Disease,I891,ICD10
Cardiovascular Disease,I898,ICD10
Cardiovascular Disease,I899,ICD10
Cardiovascular Disease,I953,ICD10
Cardiovascular Disease,I970,ICD10
Cardiovascular Disease,I97110,ICD10
Cardiovascular Disease,I97111,ICD10
Cardiovascular Disease,I97120,ICD10
Cardiovascular Disease,I97121,ICD10
Cardiovascular Disease,I97130,ICD10
Cardiovascular Disease,I97131,ICD10
Cardiovascular Disease,I97190,ICD10
Cardiovascular Disease,I97191,ICD10
Cardiovascular Disease,I972,ICD10
Chronic Obstructive Pulmonary Disease,J410,ICD10
Chronic Obstructive Pulmonary Disease,J411,ICD10
Chronic Obstructive Pulmonary Disease,J418,ICD10
Chronic Obstructive Pulmonary Disease,J42,ICD10
Chronic Obstructive Pulmonary Disease,J430,ICD10
Chronic Obstructive Pulmonary Disease,J431,ICD10
Chronic Obstructive Pulmonary Disease,J432,ICD10
Chronic Obstructive Pulmonary Disease,J438,ICD10
Chronic Obstructive Pulmonary Disease,J439,ICD10
Chronic Obstructive Pulmonary Disease,J440,ICD10
Chronic Obstructive Pulmonary Disease,J441,ICD10
Chronic Obstructive Pulmonary Disease,J449,ICD10
Chronic Obstructive Pulmonary Disease,I2601,ICD10
Chronic Obstructive Pulmonary Disease,I2602,ICD10
Chronic Obstructive Pulmonary Disease,I2609,ICD10
Chronic Obstructive Pulmonary Disease,I2692,ICD10
Chronic Obstructive Pulmonary Disease,I270,ICD10
Chronic Obstructive Pulmonary Disease,I271,ICD10
Chronic Obstructive Pulmonary Disease,I272,ICD10
Chronic Obstructive Pulmonary Disease,I2720,ICD10
Chronic Obstructive Pulmonary Disease,I2721,ICD10
Chronic Obstructive Pulmonary Disease,I2722,ICD10
Chronic Obstructive Pulmonary Disease,I2723,ICD10
Chronic Obstructive Pulmonary Disease,I2724,ICD10
Chronic Obstructive Pulmonary Disease,I2729,ICD10
Chronic Obstructive Pulmonary Disease,I2781,ICD10
Chronic Obstructive Pulmonary Disease,I2782,ICD10
Chronic Obstructive Pulmonary Disease,I2783,ICD10
Chronic Obstructive Pulmonary Disease,I2789,ICD10
Chronic Obstructive Pulmonary Disease,I279,ICD10
Asthma,J4520,ICD10
Asthma,J4521,ICD10
Asthma,J4522,ICD10
Asthma,J4530,ICD10
Asthma,J4531,ICD10
Asthma,J4532,ICD10
Asthma,J4540,ICD10
Asthma,J4541,ICD10
Asthma,J4542,ICD10
Asthma,J4550,ICD10
Asthma,J4551,ICD10
Asthma,J4552,ICD10
Asthma,J45901,ICD10
Asthma,J45902,ICD10
Asthma,J45909,ICD10
Asthma,J45990,ICD10
Asthma,J45991,ICD10
Asthma,J45998,ICD10
Mental Health Conditions,F0150,ICD10
Mental Health Conditions,F0151,ICD10
Mental Health Conditions,F0280,ICD10
Mental Health Conditions,F0281,ICD10
Mental Health Conditions,F0390,ICD10
Mental Health Conditions,F0391,ICD10
Mental Health Conditions,F04,ICD10
Mental Health Conditions,F05,ICD10
Mental Health Conditions,F060,ICD10
Mental Health Conditions,F061,ICD10
Mental Health Conditions,F068,ICD10
Mental Health Conditions,F070,ICD10
Mental Health Conditions,F0781,ICD10
Mental Health Conditions,F0789,ICD10
Mental Health Conditions,F079,ICD10
Mental Health Conditions,F09,ICD10
Mental Health Conditions,F1010,ICD10
Mental Health Conditions,F1011,ICD10
Mental Health Conditions,F10120,ICD10
Mental Health Conditions,F10121,ICD10
Mental Health Conditions,F10129,ICD10
Mental Health Conditions,F1014,ICD10
Mental Health Conditions,F10150,ICD10
Mental Health Conditions,F10151,ICD10
Mental Health Conditions,F10159,ICD10
Mental Health Conditions,F10180,ICD10
Mental Health Conditions,F10181,ICD10
Mental Health Conditions,F10182,ICD10
Mental Health Conditions,F10188,ICD10
Mental Health Conditions,F1019,ICD10
Mental Health Conditions,F1020,ICD10
Mental Health Conditions,F1021,ICD10
Mental Health Conditions,F10220,ICD10
Mental Health Conditions,F10221,ICD10
Mental Health Conditions,F10229,ICD10
Mental Health Conditions,F10230,ICD10
Mental Health Conditions,F10231,ICD10
Mental Health Conditions,F10232,ICD10
Mental Health Conditions,F10239,ICD10
Mental Health Conditions,F1024,ICD10
Mental Health Conditions,F10250,ICD10
Mental Health Conditions,F10251,ICD10
Mental Health Conditions,F10259,ICD10
Mental Health Conditions,F1026,ICD10
Mental Health Conditions,F1027,ICD10
Mental Health Conditions,F10280,ICD10
Mental Health Conditions,F10281,ICD10
Mental Health Conditions,F10282,ICD10
Mental Health Conditions,F10288,ICD10
Mental Health Conditions,F1029,ICD10
Mental Health Conditions,F1110,ICD10
Mental Health Conditions,F1111,ICD10
Mental Health Conditions,F11120,ICD10
Mental Health Conditions,F11121,ICD10
Mental Health Conditions,F11122,ICD10
Mental Health Conditions,F11129,ICD10
Mental Health Conditions,F1114,ICD10
Mental Health Conditions,F11150,ICD10
Mental Health Conditions,F11151,ICD10
Mental Health Conditions,F11159,ICD10
Mental Health Conditions,F11181,ICD10
Mental Health Conditions,F11182,ICD10
Mental Health Conditions,F11188,ICD10
Mental Health Conditions,F1119,ICD10
Mental Health Conditions,F1120,ICD10
Mental Health Conditions,F1121,ICD10
Mental Health Conditions,F11220,ICD10
Mental Health Conditions,F11221,ICD10
Mental Health Conditions,F11222,ICD10
Mental Health Conditions,F11229,ICD10
Mental Health Conditions,F1123,ICD10
Mental Health Conditions,F1124,ICD10
Mental Health Conditions,F11250,ICD10
Mental Health Conditions,F11251,ICD10
Mental Health Conditions,F11259,ICD10
Mental Health Conditions,F11281,ICD10
Mental Health Conditions,F11282,ICD10
Mental Health Conditions,F11288,ICD10
Mental Health Conditions,F1129,ICD10
Mental Health Conditions,F1210,ICD10
Mental Health Conditions,F1211,ICD10
Mental Health Conditions,F12120,ICD10
Mental Health Conditions,F12121,ICD10
Mental Health Conditions,F12122,ICD10
Mental Health Conditions,F12129,ICD10
Mental Health Conditions,F12150,ICD10
Mental Health Conditions,F12151,ICD10
Mental Health Conditions,F12159,ICD10
Mental Health Conditions,F12180,ICD10
Mental Health Conditions,F12188,ICD10
Mental Health Conditions,F1219,ICD10
Mental Health Conditions,F1220,ICD10
Mental Health Conditions,F1221,ICD10
Mental Health Conditions,F12220,ICD10
Mental Health Conditions,F12221,ICD10
Mental Health Conditions,F12222,ICD10
Mental Health Conditions,F12229,ICD10
Mental Health Conditions,F1223,ICD10
Mental Health Conditions,F12250,ICD10
Mental Health Conditions,F12251,ICD10
Mental Health Conditions,F12259,ICD10
Mental Health Conditions,F12280,ICD10
Mental Health Conditions,F12288,ICD10
Mental Health Conditions,F1229,ICD10
Mental Health Conditions,F1310,ICD10
Mental Health Conditions,F1311,ICD10
Mental Health Conditions,F13120,ICD10
Mental Health Conditions,F13121,ICD10
Mental Health Conditions,F13129,ICD10
Mental Health Conditions,F1314,ICD10
Mental Health Conditions,F13150,ICD10
Mental Health Conditions,F13151,ICD10
Mental Health Conditions,F13159,ICD10
Mental Health Conditions,F13180,ICD10
Mental Health Conditions,F13181,ICD10
Mental Health Conditions,F13182,ICD10
Mental Health Conditions,F13188,ICD10
Mental Health Conditions,F1319,ICD10
Mental Health Conditions,F1320,ICD10
Mental Health Conditions,F1321,ICD10
Mental Health Conditions,F13220,ICD10
Mental Health Conditions,F13221,ICD10
Mental Health Conditions,F13229,ICD10
Mental Health Conditions,F13230,ICD10
Mental Health Conditions,F13231,ICD10
Mental Health Conditions,F13232,ICD10
Mental Health Conditions,F13239,ICD10
Mental Health Conditions,F1324,ICD10
Mental Health Conditions,F13250,ICD10
Mental Health Conditions,F13251,ICD10
Mental Health Conditions,F13259,ICD10
Mental Health Conditions,F1326,ICD10
Mental Health Conditions,F1327,ICD10
Mental Health Conditions,F13280,ICD10
Mental Health Conditions,F13281,ICD10
Mental Health Conditions,F13282,ICD10
Mental Health Conditions,F13288,ICD10
Mental Health Conditions,F1329,ICD10
Mental Health Conditions,F1410,ICD10
Mental Health Conditions,F1411,ICD10
Mental Health Conditions,F14120,ICD10
Mental Health Conditions,F14121,ICD10
Mental Health Conditions,F14122,ICD10
Mental Health Conditions,F14129,ICD10
Mental Health Conditions,F1414,ICD10
Mental Health Conditions,F14150,ICD10
Mental Health Conditions,F14151,ICD10
Mental Health Conditions,F14159,ICD10
Mental Health Conditions,F14180,ICD10
Mental Health Conditions,F14181,ICD10
Mental Health Conditions,F14182,ICD10
Mental Health Conditions,F14188,ICD10
Mental Health Conditions,F1419,ICD10
Mental Health Conditions,F1420,ICD10
Mental Health Conditions,F1421,ICD10
Mental Health Conditions,F14220,ICD10
Mental Health Conditions,F14221,ICD10
Mental Health Conditions,F14222,ICD10
Mental Health Conditions,F14229,ICD10
Mental Health Conditions,F1423,ICD10
Mental Health Conditions,F1424,ICD10
Mental Health Conditions,F14250,ICD10
Mental Health Conditions,F14251,ICD10
Mental Health Conditions,F14259,ICD10
Mental Health Conditions,F14280,ICD10
Mental Health Conditions,F14281,ICD10
Mental Health Conditions,F14282,ICD10
Mental Health Conditions,F14288,ICD10
Mental Health Conditions,F1429,ICD10
Mental Health Conditions,F1510,ICD10
Mental Health Conditions,F1511,ICD10
Mental Health Conditions,F15120,ICD10
Mental Health Conditions,F15121,ICD10
Mental Health Conditions,F15122,ICD10
Mental Health Conditions,F15129,ICD10
Mental Health Conditions,F1514,ICD10
Mental Health Conditions,F15150,ICD10
Mental Health Conditions,F15151,ICD10
Mental Health Conditions,F15159,ICD10
Mental Health Conditions,F15180,ICD10
Mental Health Conditions,F15181,ICD10
Mental Health Conditions,F15182,ICD10
Mental Health Conditions,F15188,ICD10
Mental Health Conditions,F1519,ICD10
Mental Health Conditions,F1520,ICD10
Mental Health Conditions,F1521,ICD10
Mental Health Conditions,F15220,ICD10
Mental Health Conditions,F15221,ICD10
Mental Health Conditions,F15222,ICD10
Mental Health Conditions,F15229,ICD10
Mental Health Conditions,F1523,ICD10
Mental Health Conditions,F1524,ICD10
Mental Health Conditions,F15250,ICD10
Mental Health Conditions,F15251,ICD10
Mental Health Conditions,F15259,ICD10
Mental Health Conditions,F15280,ICD10
Mental Health Conditions,F15281,ICD10
Mental Health Conditions,F15282,ICD10
Mental Health Conditions,F15288,ICD10
Mental Health Conditions,F1529,ICD10
Mental Health Conditions,F1610,ICD10
Mental Health Conditions,F1611,ICD10
Mental Health Conditions,F16120,ICD10
Mental Health Conditions,F16121,ICD10
Mental Health Conditions,F16122,ICD10
Mental Health Conditions,F16129,ICD10
Mental Health Conditions,F1614,ICD10
Mental Health Conditions,F16150,ICD10
Mental Health Conditions,F16151,ICD10
Mental Health Conditions,F16159,ICD10
Mental Health Conditions,F16180,ICD10
Mental Health Conditions,F16183,ICD10
Mental Health Conditions,F16188,ICD10
Mental Health Conditions,F1619,ICD10
Mental Health Conditions,F1620,ICD10
Mental Health Conditions,F1621,ICD10
Mental Health Conditions,F16220,ICD10
Mental Health Conditions,F16221,ICD10
Mental Health Conditions,F16229,ICD10
Mental Health Conditions,F1624,ICD10
Mental Health Conditions,F16250,ICD10
Mental Health Conditions,F16251,ICD10
Mental Health Conditions,F16259,ICD10
Mental Health Conditions,F16280,ICD10
Mental Health Conditions,F16283,ICD10
Mental Health Conditions,F16288,ICD10
Mental Health Conditions,F1629,ICD10
Mental Health Conditions,F17200,ICD10
Mental Health Conditions,F17201,ICD10
Mental Health Conditions,F17203,ICD10
Mental Health Conditions,F17208,ICD10
Mental Health Conditions,F17209,ICD10
Mental Health Conditions,F17210,ICD10
Mental Health Conditions,F17211,ICD10
Mental Health Conditions,F17213,ICD10
Mental Health Conditions,F17218,ICD10
Mental Health Conditions,F17219,ICD10
Mental Health Conditions,F17220,ICD10
Mental Health Conditions,F17221,ICD10
Mental Health Conditions,F17223,ICD10
Mental Health Conditions,F17228,ICD10
Mental Health Conditions,F17229,ICD10
Mental Health Conditions,F17290,ICD10
Mental Health Conditions,F17291,ICD10
Mental Health Conditions,F17293,ICD10
Mental Health Conditions,F17298,ICD10
Mental Health Conditions,F17299,ICD10
Mental Health Conditions,F1810,ICD10
Mental Health Conditions,F1811,ICD10
Mental Health Conditions,F18120,ICD10
Mental Health Conditions,F1814,ICD10
Mental Health Conditions,F18159,ICD10
Mental Health Conditions,F1817,ICD10
Mental Health Conditions,F18180,ICD10
Mental Health Conditions,F18188,ICD10
Mental Health Conditions,F1819,ICD10
Mental Health Conditions,F1820,ICD10
Mental Health Conditions,F1821,ICD10
Mental Health Conditions,F18220,ICD10
Mental Health Conditions,F18221,ICD10
Mental Health Conditions,F18229,ICD10
Mental Health Conditions,F1824,ICD10
Mental Health Conditions,F18250,ICD10
