cd_from,cd_to,cd_from_to,is_chronic_path,gender,age_group,instance,age_group_sort,develop_type,link,cases,MU,SD,prob,z,p,odds,odds_order,link_label,d_type_order
Alcohol,Anemia,Alcohol-->Anemia,0,All Sex,< 40,39,2,overall,383,4681,12.221932114882506,19.439538147229193,0.83,-27,0,Very Unlikely,1,Prob: 0.83% | p: 0,2
AR,D,AR-->D,1,All Sex,All Age,137,1,overall,577,69302,120.10745233968804,216.3153776332515,0.2,-1.9,0.061,Neutral,2,Prob: 0.2% | p: 0.061,2
AR,D,AR-->D,1,All Sex,All Age,137,1,from,24,1508,62.833333333333336,69.50299753727651,9.08,-5.2,0,Very Unlikely,1,Prob: 9.08% | p: 0,2
AR,D,AR-->D,1,F,< 40,4,2,overall,335,3002,8.961194029850747,12.76790694169646,0.13,7.1,0,Very Likely,3,Prob: 0.13% | p: 0,2
AR,D,AR-->D,1,F,< 40,4,2,from,12,67,5.583333333333333,4.52183255959016,5.97,1.2,0.251,Neutral,2,Prob: 5.97% | p: 0.251,2
AR,D,AR-->D,1,F,> 60,31,4,overall,508,24451,48.131889763779526,84.94760147771233,0.13,4.5,0,Very Likely,3,Prob: 0.13% | p: 0,2
AR,D,AR-->D,1,F,> 60,31,4,from,23,624,27.130434782608695,29.614652926958133,4.97,-0.6,0.537,Neutral,2,Prob: 4.97% | p: 0.537,2
AR,D,AR-->D,1,F,40 to 60,37,3,overall,424,7467,17.610849056603772,24.472534423744737,0.5,-16.3,0,Very Unlikely,1,Prob: 0.5% | p: 0,2
AR,D,AR-->D,1,F,40 to 60,37,3,from,20,167,8.35,10.653761381734967,22.16,-12,0,Very Unlikely,1,Prob: 22.16% | p: 0,2
AR,D,AR-->D,1,F,All Age,72,1,overall,546,34920,63.956043956043956,105.21942947740376,0.21,-1.8,0.075,Neutral,2,Prob: 0.21% | p: 0.075,2
AR,D,AR-->D,1,F,All Age,72,1,from,24,858,35.75,37.31679887478118,8.39,-4.8,0,Very Unlikely,1,Prob: 8.39% | p: 0,2
AR,D,AR-->D,1,M,< 40,3,2,overall,262,1679,6.408396946564886,9.638941915573069,0.18,5.7,0,Very Likely,3,Prob: 0.18% | p: 0,2
AR,D,AR-->D,1,M,< 40,3,2,from,7,12,1.7142857142857142,0.9511897312113419,25,-3.6,0.012,Very Unlikely,1,Prob: 25% | p: 0.012,2
AR,D,AR-->D,1,M,> 60,49,4,overall,493,25457,51.6369168356998,96.7984034517098,0.19,0.6,0.546,Neutral,2,Prob: 0.19% | p: 0.546,2
AR,D,AR-->D,1,M,> 60,49,4,from,21,481,22.904761904761905,28.176062112908472,10.19,-4.2,0,Very Unlikely,1,Prob: 10.19% | p: 0,2
AR,D,AR-->D,1,M,40 to 60,13,3,overall,424,7246,17.089622641509433,32.90305964703321,0.18,2.6,0.011,Very Likely,3,Prob: 0.18% | p: 0.011,2
AR,D,AR-->D,1,M,40 to 60,13,3,from,20,157,7.85,9.890319562715431,8.28,-2.3,0.031,Very Unlikely,1,Prob: 8.28% | p: 0.031,2
AR,D,AR-->D,1,M,All Age,65,1,overall,539,34382,63.788497217068645,122.98907293230812,0.19,-0.2,0.819,Neutral,2,Prob: 0.19% | p: 0.819,2
AR,D,AR-->D,1,M,All Age,65,1,from,23,650,28.26086956521739,34.563797917506314,10,-5.1,0,Very Unlikely,1,Prob: 10% | p: 0,2
AR,Drugs,AR-->Drugs,0,All Sex,< 40,12,2,overall,383,4681,12.221932114882506,19.439538147229193,0.26,0.2,0.823,Neutral,2,Prob: 0.26% | p: 0.823,2
AR,Drugs,AR-->Drugs,0,All Sex,< 40,12,2,from,14,79,5.642857142857143,4.307545130923768,15.19,-5.5,0,Very Unlikely,1,Prob: 15.19% | p: 0,2
AR,Drugs,AR-->Drugs,0,All Sex,> 60,4,4,overall,547,49908,91.23948811700183,169.02142194170352,0.01,12.1,0,Very Likely,3,Prob: 0.01% | p: 0,2
AR,Drugs,AR-->Drugs,0,All Sex,> 60,4,4,from,24,1105,46.041666666666664,54.529991083221645,0.36,3.8,0.001,Very Likely,3,Prob: 0.36% | p: 0.001,2
AR,Drugs,AR-->Drugs,0,All Sex,40 to 60,34,3,overall,489,14713,30.0879345603272,52.87491461865575,0.23,-1.6,0.102,Neutral,2,Prob: 0.23% | p: 0.102,2
AR,Drugs,AR-->Drugs,0,All Sex,40 to 60,34,3,from,21,324,15.428571428571429,18.225178815505288,10.49,-4.7,0,Very Unlikely,1,Prob: 10.49% | p: 0,2
AR,Drugs,AR-->Drugs,0,All Sex,All Age,50,1,overall,577,69302,120.10745233968804,216.3153776332515,0.07,7.8,0,Very Likely,3,Prob: 0.07% | p: 0,2
AR,Drugs,AR-->Drugs,0,All Sex,All Age,50,1,from,24,1508,62.833333333333336,69.50299753727651,3.32,0.9,0.375,Neutral,2,Prob: 3.32% | p: 0.375,2
AR,Drugs,AR-->Drugs,0,F,< 40,12,2,overall,335,3002,8.961194029850747,12.76790694169646,0.4,-4.4,0,Very Unlikely,1,Prob: 0.4% | p: 0,2
AR,Drugs,AR-->Drugs,0,F,< 40,12,2,from,12,67,5.583333333333333,4.52183255959016,17.91,-4.9,0,Very Unlikely,1,Prob: 17.91% | p: 0,2
AR,Drugs,AR-->Drugs,0,F,> 60,4,4,overall,508,24451,48.131889763779526,84.94760147771233,0.02,11.7,0,Very Likely,3,Prob: 0.02% | p: 0,2
AR,Drugs,AR-->Drugs,0,F,> 60,4,4,from,23,624,27.130434782608695,29.614652926958133,0.64,3.7,0.001,Very Likely,3,Prob: 0.64% | p: 0.001,2
AR,Drugs,AR-->Drugs,0,F,40 to 60,3,3,overall,424,7467,17.610849056603772,24.472534423744737,0.04,12.3,0,Very Likely,3,Prob: 0.04% | p: 0,2
AR,Drugs,AR-->Drugs,0,F,40 to 60,3,3,from,20,167,8.35,10.653761381734967,1.8,2.2,0.037,Very Likely,3,Prob: 1.8% | p: 0.037,2
AR,Drugs,AR-->Drugs,0,F,All Age,19,1,overall,546,34920,63.956043956043956,105.21942947740376,0.05,10,0,Very Likely,3,Prob: 0.05% | p: 0,2
AR,Drugs,AR-->Drugs,0,F,All Age,19,1,from,24,858,35.75,37.31679887478118,2.21,2.2,0.038,Very Likely,3,Prob: 2.21% | p: 0.038,2
AR,Drugs,AR-->Drugs,0,M,40 to 60,31,3,overall,424,7246,17.089622641509433,32.90305964703321,0.43,-8.7,0,Very Unlikely,1,Prob: 0.43% | p: 0,2
AR,Drugs,AR-->Drugs,0,M,40 to 60,31,3,from,20,157,7.85,9.890319562715431,19.75,-10.5,0,Very Unlikely,1,Prob: 19.75% | p: 0,2
AR,Drugs,AR-->Drugs,0,M,All Age,31,1,overall,539,34382,63.788497217068645,122.98907293230812,0.09,6.2,0,Very Likely,3,Prob: 0.09% | p: 0,2
AR,Drugs,AR-->Drugs,0,M,All Age,31,1,from,23,650,28.26086956521739,34.563797917506314,4.77,-0.4,0.708,Neutral,2,Prob: 4.77% | p: 0.708,2
AR,FluidsLytes,AR-->FluidsLytes,0,All Sex,< 40,2,2,overall,383,4681,12.221932114882506,19.439538147229193,0.04,10.3,0,Very Likely,3,Prob: 0.04% | p: 0,2
AR,FluidsLytes,AR-->FluidsLytes,0,All Sex,< 40,2,2,from,14,79,5.642857142857143,4.307545130923768,2.53,3.2,0.007,Very Likely,3,Prob: 2.53% | p: 0.007,2
AR,FluidsLytes,AR-->FluidsLytes,0,All Sex,> 60,106,4,overall,547,49908,91.23948811700183,169.02142194170352,0.21,-2,0.042,Very Unlikely,1,Prob: 0.21% | p: 0.042,2
AR,FluidsLytes,AR-->FluidsLytes,0,All Sex,> 60,106,4,from,24,1105,46.041666666666664,54.529991083221645,9.59,-5.4,0,Very Unlikely,1,Prob: 9.59% | p: 0,2
AR,FluidsLytes,AR-->FluidsLytes,0,All Sex,40 to 60,9,3,overall,489,14713,30.0879345603272,52.87491461865575,0.06,8.8,0,Very Likely,3,Prob: 0.06% | p: 0,2
AR,FluidsLytes,AR-->FluidsLytes,0,All Sex,40 to 60,9,3,from,21,324,15.428571428571429,18.225178815505288,2.78,1.6,0.122,Neutral,2,Prob: 2.78% | p: 0.122,2
AR,FluidsLytes,AR-->FluidsLytes,0,All Sex,All Age,117,1,overall,577,69302,120.10745233968804,216.3153776332515,0.17,0.3,0.73,Neutral,2,Prob: 0.17% | p: 0.73,2
AR,FluidsLytes,AR-->FluidsLytes,0,All Sex,All Age,117,1,from,24,1508,62.833333333333336,69.50299753727651,7.76,-3.8,0.001,Very Unlikely,1,Prob: 7.76% | p: 0.001,2
AR,FluidsLytes,AR-->FluidsLytes,0,F,< 40,1,2,overall,335,3002,8.961194029850747,12.76790694169646,0.03,11.4,0,Very Likely,3,Prob: 0.03% | p: 0,2
AR,FluidsLytes,AR-->FluidsLytes,0,F,< 40,1,2,from,12,67,5.583333333333333,4.52183255959016,1.49,3.5,0.005,Very Likely,3,Prob: 1.49% | p: 0.005,2
AR,FluidsLytes,AR-->FluidsLytes,0,F,> 60,55,4,overall,508,24451,48.131889763779526,84.94760147771233,0.22,-1.8,0.069,Neutral,2,Prob: 0.22% | p: 0.069,2
AR,FluidsLytes,AR-->FluidsLytes,0,F,> 60,55,4,from,23,624,27.130434782608695,29.614652926958133,8.81,-4.5,0,Very Unlikely,1,Prob: 8.81% | p: 0,2
AR,FluidsLytes,AR-->FluidsLytes,0,F,40 to 60,7,3,overall,424,7467,17.610849056603772,24.472534423744737,0.09,8.9,0,Very Likely,3,Prob: 0.09% | p: 0,2
AR,FluidsLytes,AR-->FluidsLytes,0,F,40 to 60,7,3,from,20,167,8.35,10.653761381734967,4.19,0.6,0.578,Neutral,2,Prob: 4.19% | p: 0.578,2
AR,FluidsLytes,AR-->FluidsLytes,0,F,All Age,63,1,overall,546,34920,63.956043956043956,105.21942947740376,0.18,0.2,0.832,Neutral,2,Prob: 0.18% | p: 0.832,2
AR,FluidsLytes,AR-->FluidsLytes,0,F,All Age,63,1,from,24,858,35.75,37.31679887478118,7.34,-3.6,0.002,Very Unlikely,1,Prob: 7.34% | p: 0.002,2
AR,FluidsLytes,AR-->FluidsLytes,0,M,< 40,1,2,overall,262,1679,6.408396946564886,9.638941915573069,0.06,9.1,0,Very Likely,3,Prob: 0.06% | p: 0,2
AR,FluidsLytes,AR-->FluidsLytes,0,M,< 40,1,2,from,7,12,1.7142857142857142,0.9511897312113419,8.33,2,0.094,Very Likely,3,Prob: 8.33% | p: 0.094,2
AR,FluidsLytes,AR-->FluidsLytes,0,M,> 60,51,4,overall,493,25457,51.6369168356998,96.7984034517098,0.2,0.1,0.884,Neutral,2,Prob: 0.2% | p: 0.884,2
AR,FluidsLytes,AR-->FluidsLytes,0,M,> 60,51,4,from,21,481,22.904761904761905,28.176062112908472,10.6,-4.6,0,Very Unlikely,1,Prob: 10.6% | p: 0,2
AR,FluidsLytes,AR-->FluidsLytes,0,M,40 to 60,2,3,overall,424,7246,17.089622641509433,32.90305964703321,0.03,9.4,0,Very Likely,3,Prob: 0.03% | p: 0,2
AR,FluidsLytes,AR-->FluidsLytes,0,M,40 to 60,2,3,from,20,157,7.85,9.890319562715431,1.27,2.6,0.016,Very Likely,3,Prob: 1.27% | p: 0.016,2
AR,FluidsLytes,AR-->FluidsLytes,0,M,All Age,54,1,overall,539,34382,63.788497217068645,122.98907293230812,0.16,1.8,0.065,Neutral,2,Prob: 0.16% | p: 0.065,2
AR,FluidsLytes,AR-->FluidsLytes,0,M,All Age,54,1,from,23,650,28.26086956521739,34.563797917506314,8.31,-3.6,0.002,Very Unlikely,1,Prob: 8.31% | p: 0.002,2
AR,G,AR-->G,1,All Sex,> 60,16,4,overall,547,49908,91.23948811700183,169.02142194170352,0.03,10.4,0,Very Likely,3,Prob: 0.03% | p: 0,2
AR,G,AR-->G,1,All Sex,> 60,16,4,from,24,1105,46.041666666666664,54.529991083221645,1.45,2.7,0.013,Very Likely,3,Prob: 1.45% | p: 0.013,2
AR,G,AR-->G,1,All Sex,40 to 60,5,3,overall,489,14713,30.0879345603272,52.87491461865575,0.03,10.5,0,Very Likely,3,Prob: 0.03% | p: 0,2
AR,G,AR-->G,1,All Sex,40 to 60,5,3,from,21,324,15.428571428571429,18.225178815505288,1.54,2.6,0.016,Very Likely,3,Prob: 1.54% | p: 0.016,2
AR,G,AR-->G,1,All Sex,All Age,21,1,overall,577,69302,120.10745233968804,216.3153776332515,0.03,11,0,Very Likely,3,Prob: 0.03% | p: 0,2
AR,G,AR-->G,1,All Sex,All Age,21,1,from,24,1508,62.833333333333336,69.50299753727651,1.39,2.9,0.007,Very Likely,3,Prob: 1.39% | p: 0.007,2
AR,G,AR-->G,1,F,40 to 60,1,3,overall,424,7467,17.610849056603772,24.472534423744737,0.01,14,0,Very Likely,3,Prob: 0.01% | p: 0,2
AR,G,AR-->G,1,F,40 to 60,1,3,from,20,167,8.35,10.653761381734967,0.6,3.1,0.006,Very Likely,3,Prob: 0.6% | p: 0.006,2
AR,G,AR-->G,1,F,All Age,1,1,overall,546,34920,63.956043956043956,105.21942947740376,0,14,0,Very Likely,3,Prob: 0% | p: 0,2
AR,G,AR-->G,1,F,All Age,1,1,from,24,858,35.75,37.31679887478118,0.12,4.6,0,Very Likely,3,Prob: 0.12% | p: 0,2
AR,G,AR-->G,1,M,> 60,16,4,overall,493,25457,51.6369168356998,96.7984034517098,0.06,8.2,0,Very Likely,3,Prob: 0.06% | p: 0,2
AR,G,AR-->G,1,M,> 60,16,4,from,21,481,22.904761904761905,28.176062112908472,3.33,1.1,0.275,Neutral,2,Prob: 3.33% | p: 0.275,2
AR,G,AR-->G,1,M,40 to 60,4,3,overall,424,7246,17.089622641509433,32.90305964703321,0.06,8.2,0,Very Likely,3,Prob: 0.06% | p: 0,2
AR,G,AR-->G,1,M,40 to 60,4,3,from,20,157,7.85,9.890319562715431,2.55,1.7,0.098,Neutral,2,Prob: 2.55% | p: 0.098,2
AR,G,AR-->G,1,M,All Age,20,1,overall,539,34382,63.788497217068645,122.98907293230812,0.06,8.3,0,Very Likely,3,Prob: 0.06% | p: 0,2
AR,G,AR-->G,1,M,All Age,20,1,from,23,650,28.26086956521739,34.563797917506314,3.08,1.1,0.264,Neutral,2,Prob: 3.08% | p: 0.264,2
AR,HIV,AR-->HIV,0,All Sex,> 60,1,4,overall,547,49908,91.23948811700183,169.02142194170352,0,12.5,0,Very Likely,3,Prob: 0% | p: 0,2
AR,HIV,AR-->HIV,0,All Sex,> 60,1,4,from,24,1105,46.041666666666664,54.529991083221645,0.09,4,0.001,Very Likely,3,Prob: 0.09% | p: 0.001,2
AR,HIV,AR-->HIV,0,All Sex,40 to 60,2,3,overall,489,14713,30.0879345603272,52.87491461865575,0.01,11.7,0,Very Likely,3,Prob: 0.01% | p: 0,2
AR,HIV,AR-->HIV,0,All Sex,40 to 60,2,3,from,21,324,15.428571428571429,18.225178815505288,0.62,3.4,0.003,Very Likely,3,Prob: 0.62% | p: 0.003,2
AR,HIV,AR-->HIV,0,All Sex,All Age,3,1,overall,577,69302,120.10745233968804,216.3153776332515,0,13,0,Very Likely,3,Prob: 0% | p: 0,2
AR,HIV,AR-->HIV,0,All Sex,All Age,3,1,from,24,1508,62.833333333333336,69.50299753727651,0.2,4.2,0,Very Likely,3,Prob: 0.2% | p: 0,2
AR,HIV,AR-->HIV,0,F,> 60,1,4,overall,508,24451,48.131889763779526,84.94760147771233,0,12.5,0,Very Likely,3,Prob: 0% | p: 0,2
AR,HIV,AR-->HIV,0,F,> 60,1,4,from,23,624,27.130434782608695,29.614652926958133,0.16,4.2,0,Very Likely,3,Prob: 0.16% | p: 0,2
AR,HIV,AR-->HIV,0,F,40 to 60,1,3,overall,424,7467,17.610849056603772,24.472534423744737,0.01,14,0,Very Likely,3,Prob: 0.01% | p: 0,2
AR,HIV,AR-->HIV,0,F,40 to 60,1,3,from,20,167,8.35,10.653761381734967,0.6,3.1,0.006,Very Likely,3,Prob: 0.6% | p: 0.006,2
AR,HIV,AR-->HIV,0,F,All Age,2,1,overall,546,34920,63.956043956043956,105.21942947740376,0.01,13.8,0,Very Likely,3,Prob: 0.01% | p: 0,2
AR,HIV,AR-->HIV,0,F,All Age,2,1,from,24,858,35.75,37.31679887478118,0.23,4.4,0,Very Likely,3,Prob: 0.23% | p: 0,2
AR,HIV,AR-->HIV,0,M,40 to 60,1,3,overall,424,7246,17.089622641509433,32.90305964703321,0.01,10.1,0,Very Likely,3,Prob: 0.01% | p: 0,2
AR,HIV,AR-->HIV,0,M,40 to 60,1,3,from,20,157,7.85,9.890319562715431,0.64,3.1,0.006,Very Likely,3,Prob: 0.64% | p: 0.006,2
AR,HIV,AR-->HIV,0,M,All Age,1,1,overall,539,34382,63.788497217068645,122.98907293230812,0,11.9,0,Very Likely,3,Prob: 0% | p: 0,2
AR,HIV,AR-->HIV,0,M,All Age,1,1,from,23,650,28.26086956521739,34.563797917506314,0.15,3.8,0.001,Very Likely,3,Prob: 0.15% | p: 0.001,2
AR,Hypothyroid,AR-->Hypothyroid,0,All Sex,< 40,3,2,overall,383,4681,12.221932114882506,19.439538147229193,0.06,9.3,0,Very Likely,3,Prob: 0.06% | p: 0,2
AR,Hypothyroid,AR-->Hypothyroid,0,All Sex,< 40,3,2,from,14,79,5.642857142857143,4.307545130923768,3.8,2.3,0.039,Very Likely,3,Prob: 3.8% | p: 0.039,2
AR,Hypothyroid,AR-->Hypothyroid,0,All Sex,> 60,11,4,overall,547,49908,91.23948811700183,169.02142194170352,0.02,11.1,0,Very Likely,3,Prob: 0.02% | p: 0,2
AR,Hypothyroid,AR-->Hypothyroid,0,All Sex,> 60,11,4,from,24,1105,46.041666666666664,54.529991083221645,1,3.1,0.005,Very Likely,3,Prob: 1% | p: 0.005,2
AR,Hypothyroid,AR-->Hypothyroid,0,All Sex,All Age,14,1,overall,577,69302,120.10745233968804,216.3153776332515,0.02,11.8,0,Very Likely,3,Prob: 0.02% | p: 0,2
AR,Hypothyroid,AR-->Hypothyroid,0,All Sex,All Age,14,1,from,24,1508,62.833333333333336,69.50299753727651,0.93,3.4,0.002,Very Likely,3,Prob: 0.93% | p: 0.002,2
AR,Hypothyroid,AR-->Hypothyroid,0,F,< 40,3,2,overall,335,3002,8.961194029850747,12.76790694169646,0.1,8.5,0,Very Likely,3,Prob: 0.1% | p: 0,2
AR,Hypothyroid,AR-->Hypothyroid,0,F,< 40,3,2,from,12,67,5.583333333333333,4.52183255959016,4.48,2,0.073,Very Likely,3,Prob: 4.48% | p: 0.073,2
AR,Hypothyroid,AR-->Hypothyroid,0,F,> 60,11,4,overall,508,24451,48.131889763779526,84.94760147771233,0.04,9.9,0,Very Likely,3,Prob: 0.04% | p: 0,2
AR,Hypothyroid,AR-->Hypothyroid,0,F,> 60,11,4,from,23,624,27.130434782608695,29.614652926958133,1.76,2.6,0.016,Very Likely,3,Prob: 1.76% | p: 0.016,2
AR,Hypothyroid,AR-->Hypothyroid,0,F,All Age,14,1,overall,546,34920,63.956043956043956,105.21942947740376,0.04,11.1,0,Very Likely,3,Prob: 0.04% | p: 0,2
AR,Hypothyroid,AR-->Hypothyroid,0,F,All Age,14,1,from,24,858,35.75,37.31679887478118,1.63,2.9,0.009,Very Likely,3,Prob: 1.63% | p: 0.009,2
AR,Liver,AR-->Liver,0,All Sex,> 60,8,4,overall,547,49908,91.23948811700183,169.02142194170352,0.02,11.5,0,Very Likely,3,Prob: 0.02% | p: 0,2
AR,Liver,AR-->Liver,0,All Sex,> 60,8,4,from,24,1105,46.041666666666664,54.529991083221645,0.72,3.4,0.002,Very Likely,3,Prob: 0.72% | p: 0.002,2
AR,Liver,AR-->Liver,0,All Sex,40 to 60,3,3,overall,489,14713,30.0879345603272,52.87491461865575,0.02,11.3,0,Very Likely,3,Prob: 0.02% | p: 0,2
AR,Liver,AR-->Liver,0,All Sex,40 to 60,3,3,from,21,324,15.428571428571429,18.225178815505288,0.93,3.1,0.005,Very Likely,3,Prob: 0.93% | p: 0.005,2
AR,Liver,AR-->Liver,0,All Sex,All Age,11,1,overall,577,69302,120.10745233968804,216.3153776332515,0.02,12.1,0,Very Likely,3,Prob: 0.02% | p: 0,2
AR,Liver,AR-->Liver,0,All Sex,All Age,11,1,from,24,1508,62.833333333333336,69.50299753727651,0.73,3.7,0.001,Very Likely,3,Prob: 0.73% | p: 0.001,2
AR,Liver,AR-->Liver,0,F,> 60,5,4,overall,508,24451,48.131889763779526,84.94760147771233,0.02,11.4,0,Very Likely,3,Prob: 0.02% | p: 0,2
AR,Liver,AR-->Liver,0,F,> 60,5,4,from,23,624,27.130434782608695,29.614652926958133,0.8,3.6,0.002,Very Likely,3,Prob: 0.8% | p: 0.002,2
AR,Liver,AR-->Liver,0,F,40 to 60,2,3,overall,424,7467,17.610849056603772,24.472534423744737,0.03,13.1,0,Very Likely,3,Prob: 0.03% | p: 0,2
AR,Liver,AR-->Liver,0,F,40 to 60,2,3,from,20,167,8.35,10.653761381734967,1.2,2.7,0.015,Very Likely,3,Prob: 1.2% | p: 0.015,2
AR,Liver,AR-->Liver,0,F,All Age,7,1,overall,546,34920,63.956043956043956,105.21942947740376,0.02,12.6,0,Very Likely,3,Prob: 0.02% | p: 0,2
AR,Liver,AR-->Liver,0,F,All Age,7,1,from,24,858,35.75,37.31679887478118,0.82,3.8,0.001,Very Likely,3,Prob: 0.82% | p: 0.001,2
AR,Liver,AR-->Liver,0,M,> 60,3,4,overall,493,25457,51.6369168356998,96.7984034517098,0.01,11.2,0,Very Likely,3,Prob: 0.01% | p: 0,2
AR,Liver,AR-->Liver,0,M,> 60,3,4,from,21,481,22.904761904761905,28.176062112908472,0.62,3.2,0.004,Very Likely,3,Prob: 0.62% | p: 0.004,2
AR,Liver,AR-->Liver,0,M,40 to 60,1,3,overall,424,7246,17.089622641509433,32.90305964703321,0.01,10.1,0,Very Likely,3,Prob: 0.01% | p: 0,2
AR,Liver,AR-->Liver,0,M,40 to 60,1,3,from,20,157,7.85,9.890319562715431,0.64,3.1,0.006,Very Likely,3,Prob: 0.64% | p: 0.006,2
AR,Liver,AR-->Liver,0,M,All Age,4,1,overall,539,34382,63.788497217068645,122.98907293230812,0.01,11.3,0,Very Likely,3,Prob: 0.01% | p: 0,2
AR,Liver,AR-->Liver,0,M,All Age,4,1,from,23,650,28.26086956521739,34.563797917506314,0.62,3.4,0.003,Very Likely,3,Prob: 0.62% | p: 0.003,2
AR,MHC,AR-->MHC,1,All Sex,< 40,3,2,overall,383,4681,12.221932114882506,19.439538147229193,0.06,9.3,0,Very Likely,3,Prob: 0.06% | p: 0,2
AR,MHC,AR-->MHC,1,All Sex,< 40,3,2,from,14,79,5.642857142857143,4.307545130923768,3.8,2.3,0.039,Very Likely,3,Prob: 3.8% | p: 0.039,2
AR,MHC,AR-->MHC,1,All Sex,> 60,40,4,overall,547,49908,91.23948811700183,169.02142194170352,0.08,7.1,0,Very Likely,3,Prob: 0.08% | p: 0,2
AR,MHC,AR-->MHC,1,All Sex,> 60,40,4,from,24,1105,46.041666666666664,54.529991083221645,3.62,0.5,0.593,Neutral,2,Prob: 3.62% | p: 0.593,2
AR,MHC,AR-->MHC,1,All Sex,40 to 60,21,3,overall,489,14713,30.0879345603272,52.87491461865575,0.14,3.8,0,Very Likely,3,Prob: 0.14% | p: 0,2
AR,MHC,AR-->MHC,1,All Sex,40 to 60,21,3,from,21,324,15.428571428571429,18.225178815505288,6.48,-1.4,0.177,Neutral,2,Prob: 6.48% | p: 0.177,2
AR,MHC,AR-->MHC,1,All Sex,All Age,64,1,overall,577,69302,120.10745233968804,216.3153776332515,0.09,6.2,0,Very Likely,3,Prob: 0.09% | p: 0,2
AR,MHC,AR-->MHC,1,All Sex,All Age,64,1,from,24,1508,62.833333333333336,69.50299753727651,4.24,-0.1,0.935,Neutral,2,Prob: 4.24% | p: 0.935,2
AR,MHC,AR-->MHC,1,F,< 40,3,2,overall,335,3002,8.961194029850747,12.76790694169646,0.1,8.5,0,Very Likely,3,Prob: 0.1% | p: 0,2
AR,MHC,AR-->MHC,1,F,< 40,3,2,from,12,67,5.583333333333333,4.52183255959016,4.48,2,0.073,Very Likely,3,Prob: 4.48% | p: 0.073,2
AR,MHC,AR-->MHC,1,F,> 60,28,4,overall,508,24451,48.131889763779526,84.94760147771233,0.11,5.3,0,Very Likely,3,Prob: 0.11% | p: 0,2
AR,MHC,AR-->MHC,1,F,> 60,28,4,from,23,624,27.130434782608695,29.614652926958133,4.49,-0.1,0.889,Neutral,2,Prob: 4.49% | p: 0.889,2
AR,MHC,AR-->MHC,1,F,40 to 60,12,3,overall,424,7467,17.610849056603772,24.472534423744737,0.16,4.7,0,Very Likely,3,Prob: 0.16% | p: 0,2
AR,MHC,AR-->MHC,1,F,40 to 60,12,3,from,20,167,8.35,10.653761381734967,7.19,-1.5,0.142,Neutral,2,Prob: 7.19% | p: 0.142,2
AR,MHC,AR-->MHC,1,F,All Age,43,1,overall,546,34920,63.956043956043956,105.21942947740376,0.12,4.7,0,Very Likely,3,Prob: 0.12% | p: 0,2
AR,MHC,AR-->MHC,1,F,All Age,43,1,from,24,858,35.75,37.31679887478118,5.01,-1,0.351,Neutral,2,Prob: 5.01% | p: 0.351,2
AR,MHC,AR-->MHC,1,M,> 60,12,4,overall,493,25457,51.6369168356998,96.7984034517098,0.05,9.1,0,Very Likely,3,Prob: 0.05% | p: 0,2
AR,MHC,AR-->MHC,1,M,> 60,12,4,from,21,481,22.904761904761905,28.176062112908472,2.49,1.8,0.091,Neutral,2,Prob: 2.49% | p: 0.091,2
AR,MHC,AR-->MHC,1,M,40 to 60,9,3,overall,424,7246,17.089622641509433,32.90305964703321,0.12,5.1,0,Very Likely,3,Prob: 0.12% | p: 0,2
AR,MHC,AR-->MHC,1,M,40 to 60,9,3,from,20,157,7.85,9.890319562715431,5.73,-0.5,0.609,Neutral,2,Prob: 5.73% | p: 0.609,2
AR,MHC,AR-->MHC,1,M,All Age,21,1,overall,539,34382,63.788497217068645,122.98907293230812,0.06,8.1,0,Very Likely,3,Prob: 0.06% | p: 0,2
AR,MHC,AR-->MHC,1,M,All Age,21,1,from,23,650,28.26086956521739,34.563797917506314,3.23,1,0.325,Neutral,2,Prob: 3.23% | p: 0.325,2
AR,NeuroOther,AR-->NeuroOther,0,All Sex,> 60,59,4,overall,547,49908,91.23948811700183,169.02142194170352,0.12,4.5,0,Very Likely,3,Prob: 0.12% | p: 0,2
AR,NeuroOther,AR-->NeuroOther,0,All Sex,> 60,59,4,from,24,1105,46.041666666666664,54.529991083221645,5.34,-1.2,0.256,Neutral,2,Prob: 5.34% | p: 0.256,2
AR,NeuroOther,AR-->NeuroOther,0,All Sex,40 to 60,3,3,overall,489,14713,30.0879345603272,52.87491461865575,0.02,11.3,0,Very Likely,3,Prob: 0.02% | p: 0,2
AR,NeuroOther,AR-->NeuroOther,0,All Sex,40 to 60,3,3,from,21,324,15.428571428571429,18.225178815505288,0.93,3.1,0.005,Very Likely,3,Prob: 0.93% | p: 0.005,2
AR,NeuroOther,AR-->NeuroOther,0,All Sex,All Age,62,1,overall,577,69302,120.10745233968804,216.3153776332515,0.09,6.5,0,Very Likely,3,Prob: 0.09% | p: 0,2
AR,NeuroOther,AR-->NeuroOther,0,All Sex,All Age,62,1,from,24,1508,62.833333333333336,69.50299753727651,4.11,0.1,0.954,Neutral,2,Prob: 4.11% | p: 0.954,2
AR,NeuroOther,AR-->NeuroOther,0,F,> 60,20,4,overall,508,24451,48.131889763779526,84.94760147771233,0.08,7.5,0,Very Likely,3,Prob: 0.08% | p: 0,2
AR,NeuroOther,AR-->NeuroOther,0,F,> 60,20,4,from,23,624,27.130434782608695,29.614652926958133,3.21,1.2,0.261,Neutral,2,Prob: 3.21% | p: 0.261,2
